t,x,y,z
34.6,0.254160136,0.136546436,-0.222991654
34.7,0.253988132,0.13508066,-0.218247813
34.8,0.253785098,0.133618582,-0.213415033
34.9,0.253551171,0.132160613,-0.208495155
35,0.253286495,0.130707158,-0.20349005
35.1,0.252991222,0.129258621,-0.198401613
35.2,0.252665516,0.127815401,-0.19323177
35.3,0.252309545,0.126377896,-0.187982472
35.4,0.251923487,0.124946496,-0.182655695
35.5,0.251507528,0.12352159,-0.177253441
35.6,0.251061863,0.122103562,-0.171777736
35.7,0.250586694,0.120692792,-0.166230628
35.8,0.250082231,0.119289655,-0.16061419
35.9,0.249548692,0.117894522,-0.154930515
36,0.248986303,0.116507759,-0.149181719
36.1,0.248395297,0.115129728,-0.143369937
36.2,0.247775915,0.113760785,-0.137497324
36.3,0.247128406,0.112401283,-0.131566053
36.4,0.246453025,0.111051568,-0.125578318
36.5,0.245750036,0.109711981,-0.119536326
36.6,0.245019709,0.10838286,-0.113442304
36.7,0.24426232,0.107064533,-0.107298491
36.8,0.243478155,0.105757328,-0.101107145
36.9,0.242667504,0.104461563,-0.094870535
37,0.241830665,0.103177553,-0.088590943
37.1,0.240967943,0.101905606,-0.082270664
37.2,0.240079649,0.100646024,-0.075912005
37.3,0.239166099,0.099399103,-0.069517284
37.4,0.238227617,0.098165135,-0.063088825
37.5,0.237264533,0.096944401,-0.056628966
37.6,0.236277183,0.095737182,-0.050140049
37.7,0.235265908,0.094543748,-0.043624426
37.8,0.234231056,0.093364363,-0.037084452
37.9,0.233172979,0.092199288,-0.03052249
38,0.232092035,0.091048773,-0.023940908
38.1,0.230988589,0.089913064,-0.017342074
38.2,0.22986301,0.088792401,-0.010728364
38.3,0.228715671,0.087687013,-0.004102151
38.4,0.227546951,0.086597128,0.002534187
38.5,0.226357235,0.085522962,0.009178276
38.6,0.22514691,0.084464726,0.015827738
38.7,0.223916369,0.083422626,0.022480199
38.8,0.222666011,0.082396858,0.029133289
38.9,0.221396236,0.081387611,0.035784639
39,0.220107449,0.080395069,0.042431883
39.1,0.218800062,0.079419407,0.049072664
39.2,0.217474486,0.078460793,0.055704628
39.3,0.216131138,0.077519388,0.062325427
39.4,0.21477044,0.076595346,0.068932724
39.5,0.213392814,0.075688812,0.075524188
39.6,0.211998688,0.074799926,0.082097497
39.7,0.210588491,0.073928818,0.08865034
